"","Nom.2024.Commune","Agrégat","Montant.en...par.habitant"
"274","Saint-Ouen-sur-Seine","Fiscalité reversée","532.024831207802"
"275","Sevran","Fiscalité reversée","94.48555901696089"
"276","Stains","Fiscalité reversée","-33.99109858319116"
"277","Tremblay-en-France","Fiscalité reversée","1325.9922058509503"
"278","Vaujours","Fiscalité reversée","546.1471718108359"
"279","Villemomble","Fiscalité reversée","119.1052303860523"
"280","Villepinte","Fiscalité reversée","421.9746120934069"
"281","Villetaneuse","Fiscalité reversée","175.74333437892096"
"282","Le Raincy","Fonds de roulement","175.9235390946502"
"283","Aubervilliers","Fonds de roulement","227.94218781506552"
"284","Aulnay-sous-Bois","Fonds de roulement","-0.6413275236356222"
"285","Bagnolet","Fonds de roulement","59.28403236016509"
"286","Le Blanc-Mesnil","Fonds de roulement","136.1957507363518"
"287","Bobigny","Fonds de roulement","364.28748817742024"
"288","Bondy","Fonds de roulement","346.20984246330113"
"289","Le Bourget","Fonds de roulement","-136.33601950235374"
"290","Clichy-sous-Bois","Fonds de roulement","72.50411796282629"
"291","Coubron","Fonds de roulement","749.0062071666341"
"292","La Courneuve","Fonds de roulement","88.48762143416016"
"293","Drancy","Fonds de roulement","-216.63519582792276"
"294","Dugny","Fonds de roulement","270.3776530612245"
"295","Épinay-sur-Seine","Fonds de roulement","101.67744019986205"
"296","Gagny","Fonds de roulement","339.893999703176"
"297","Gournay-sur-Marne","Fonds de roulement","375.92924827188943"
"298","L'Île-Saint-Denis","Fonds de roulement","985.8192364390187"
"299","Les Lilas","Fonds de roulement","368.7973415575056"
"300","Livry-Gargan","Fonds de roulement","232.25633194859145"
"301","Montfermeil","Fonds de roulement","944.4686793594307"
"302","Montreuil","Fonds de roulement","71.58076731502227"
"303","Neuilly-Plaisance","Fonds de roulement","538.7721487603305"
"304","Neuilly-sur-Marne","Fonds de roulement","401.25193682085074"
"305","Noisy-le-Grand","Fonds de roulement","150.01778280159382"
"306","Noisy-le-Sec","Fonds de roulement","181.93092041791948"
"307","Pantin","Fonds de roulement","72.20953017601995"
"308","Les Pavillons-sous-Bois","Fonds de roulement","250.2484947255645"
"309","Pierrefitte-sur-Seine","Fonds de roulement","9.588423487324985"
"310","Le Pré-Saint-Gervais","Fonds de roulement","312.5645592148052"
"311","Romainville","Fonds de roulement","66.3898536424437"
"312","Rosny-sous-Bois","Fonds de roulement","211.99120897572888"
"313","Saint-Denis","Fonds de roulement","-37.08731952745204"
"314","Saint-Ouen-sur-Seine","Fonds de roulement","244.7645862715679"
"315","Sevran","Fonds de roulement","-24.58727452790277"
"316","Stains","Fonds de roulement","80.17321093885221"
"317","Tremblay-en-France","Fonds de roulement","470.8592245889387"
"318","Vaujours","Fonds de roulement","169.19245198039476"
"319","Villemomble","Fonds de roulement","133.3763780559743"
"320","Villepinte","Fonds de roulement","324.273081086654"
"321","Villetaneuse","Fonds de roulement","86.26686402133"
"322","Les Lilas","Fonds de soutien aux emprunts à risque","128.9188172453262"
