Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Sélection : Île-de-France; ; ; ; ; 
Code;Libellé;Nombre d'autres hébergements collectifs de tourisme 2025;Médiane du niveau de vie 2021;Unités légales dans construction (en nombre) 2023;Nb de pers. non scolarisées de 15 ans ou + 2022
77449;Serris;4;25790;81;6913
77450;Servon;0;28020;60;2496
77451;Signy-Signets;0;24550;7;465
77452;Sigy;0;N/A - secret statistique;0;52
77453;Sivry-Courtry;0;29320;20;803
77454;Sognolles-en-Montois;0;26200;4;283
77455;Soignolles-en-Brie;0;28470;36;1499
77456;Soisy-Bouy;0;25360;8;616
77457;Solers;0;26730;19;942
77458;Souppes-sur-Loing;0;20430;51;3664
77459;Sourdun;0;22960;13;1046
77460;Tancrou;0;25410;1;244
77461;Thénisy;0;27040;1;217
77462;Thieux;0;23530;15;628
77463;Thomery;0;29480;22;2532
77464;Thorigny-sur-Marne;0;25580;82;7392
77465;Thoury-Férottes;0;25450;8;496
77466;Tigeaux;0;28790;5;304
77467;La Tombe;0;23360;1;153
77468;Torcy;1;21830;157;15502
77469;Touquin;0;27270;17;915
77470;Tournan-en-Brie;0;26380;75;5994
77471;Tousson;0;26640;6;269
77472;La Trétoire;0;24990;5;350
77473;Treuzy-Levelay;0;27700;4;351
77474;Trilbardou;0;27100;13;466
77475;Trilport;0;25450;53;3592
77476;Trocy-en-Multien;0;26620;3;170
77477;Ury;0;28400;7;668
77478;Ussy-sur-Marne;0;23830;9;750
77479;Vaires-sur-Marne;1;26430;75;9819
77480;Valence-en-Brie;0;24790;13;698
77481;Vanvillé;0;28150;2;139
77482;Varennes-sur-Seine;0;21350;33;2612
77483;Varreddes;0;25970;19;1575
77484;Vaucourtois;0;27560;0;190
77485;Le Vaudoué;0;30120;7;571
77486;Vaudoy-en-Brie;0;26780;18;616
77487;Vaux-le-Pénil;0;26950;137;8190
77489;Vaux-sur-Lunain;0;24120;1;190
77490;Vendrest;0;24520;10;503
77492;Verdelot;0;24250;11;496
77493;Verneuil-l'Étang;0;25360;18;2238
77494;Vernou-la-Celle-sur-Seine;0;25910;32;1925
77495;Vert-Saint-Denis;0;25270;47;5938
77496;Vieux-Champagne;0;26090;5;137
77498;Vignely;0;30280;4;225
77500;Villebéon;0;24860;3;349
77501;Villecerf;0;26150;3;537
77504;Villemaréchal;0;27010;16;831
77505;Villemareuil;0;26350;8;271
77506;Villemer;0;26520;8;578
77507;Villenauxe-la-Petite;0;23050;1;338
77508;Villeneuve-le-Comte;0;28520;22;1362
77509;Villeneuve-les-Bordes;0;25220;7;456
77510;Villeneuve-Saint-Denis;1;29270;13;961
77511;Villeneuve-sous-Dammartin;0;21480;10;422
77512;Villeneuve-sur-Bellot;0;23060;14;849
77513;Villenoy;0;24730;52;3596
77514;Villeparisis;0;22650;250;18360
77515;Villeroy;0;27460;8;486
77516;Ville-Saint-Jacques;0;26590;12;576
77517;Villevaudé;0;28000;75;1589
77518;Villiers-en-Bière;0;32110;6;184
77519;Villiers-Saint-Georges;0;21690;8;833
77520;Villiers-sous-Grez;0;28330;11;540
77521;Villiers-sur-Morin;0;28030;32;1475
77522;Villiers-sur-Seine;0;22840;2;221
77523;Villuis;0;25120;1;200
77524;Vimpelles;0;25120;8;398
77525;Vinantes;0;27000;6;264
77526;Vincy-Manœuvre;0;26540;2;183
77527;Voinsles;0;27280;9;418
77528;Voisenon;0;29720;13;831
77529;Voulangis;0;29750;23;1100
77530;Voulton;0;24160;2;218
77531;Voulx;0;22730;25;1243
77532;Vulaines-lès-Provins;0;N/A - secret statistique;1;47
77533;Vulaines-sur-Seine;0;30280;19;1981
77534;Yèbles;0;27590;19;632
78003;Ablis;0;26630;27;2649
78005;Achères;1;23420;129;15179
78006;Adainville;0;30450;8;530
78007;Aigremont;0;41170;10;751
78009;Allainville;0;26680;11;222
78010;Les Alluets-le-Roi;0;34380;25;969
78013;Andelu;0;31070;4;363
78015;Andrésy;0;29500;62;9544
78020;Arnouville-lès-Mantes;0;30750;8;677
78029;Aubergenville;0;23070;86;8695
78030;Auffargis;0;32530;13;1471
78031;Auffreville-Brasseuil;0;28790;9;510
78033;Aulnay-sur-Mauldre;0;28930;17;837
78034;Auteuil;0;32720;14;723
78036;Autouillet;0;33110;4;467
78043;Bailly;0;38230;24;2623
78048;Bazainville;0;31990;15;1033
78049;Bazemont;0;34090;16;1249
78050;Bazoches-sur-Guyonne;0;36490;5;485
78053;Béhoust;0;32830;5;387
78057;Bennecourt;0;26070;23;1324
78062;Beynes;0;29850;60;5593
78068;Blaru;0;26910;8;668
