Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2025); ; 
Sélection : Île-de-France; ; 
Code;Libellé;Nombre de logements vacants 2022
78401;Meulan-en-Yvelines;393
78402;Mézières-sur-Seine;115
78403;Mézy-sur-Seine;64
78404;Millemont;1
78406;Milon-la-Chapelle;2
78407;Mittainville;6
78410;Moisson;37
78413;Mondreville;6
78415;Montainville;17
78416;Montalet-le-Bois;8
78417;Montchauvet;4
78418;Montesson;369
78420;Montfort-l'Amaury;94
78423;Montigny-le-Bretonneux;585
78431;Morainvilliers;50
78437;Mousseaux-sur-Seine;23
78439;Mulcent;6
78440;Les Mureaux;577
78442;Neauphle-le-Château;116
78443;Neauphle-le-Vieux;40
78444;Neauphlette;7
78451;Nézel;35
78455;Noisy-le-Roi;208
78460;Oinville-sur-Montcient;30
78464;Orcemont;11
78465;Orgerus;61
78466;Orgeval;182
78470;Orphin;28
78472;Orsonville;3
78474;Orvilliers;25
78475;Osmoy;16
78478;Paray-Douaville;8
78481;Le Pecq;641
78484;Perdreauville;19
78486;Le Perray-en-Yvelines;174
78490;Plaisir;736
78497;Poigny-la-Forêt;13
78498;Poissy;982
78499;Ponthévrard;8
78501;Porcheville;74
78502;Le Port-Marly;147
78505;Prunay-le-Temple;8
78506;Prunay-en-Yvelines;49
78513;La Queue-les-Yvelines;84
78516;Raizeux;24
78517;Rambouillet;900
78518;Rennemoulin;5
78520;Richebourg;20
78522;Rochefort-en-Yvelines;39
78528;Rolleboise;18
78530;Rosay;20
78531;Rosny-sur-Seine;193
78536;Sailly;8
78537;Saint-Arnoult-en-Yvelines;206
78545;Saint-Cyr-l'École;790
78548;Saint-Forget;18
78550;Saint-Germain-de-la-Grange;37
78551;Saint-Germain-en-Laye;992
78557;Saint-Hilarion;26
78558;Saint-Illiers-la-Ville;7
78559;Saint-Illiers-le-Bois;26
78561;Saint-Lambert;7
78562;Saint-Léger-en-Yvelines;65
78564;Saint-Martin-de-Bréthencourt;27
78565;Saint-Martin-des-Champs;11
78567;Saint-Martin-la-Garenne;49
78569;Sainte-Mesme;22
78571;Saint-Nom-la-Bretèche;170
78575;Saint-Rémy-lès-Chevreuse;266
78576;Saint-Rémy-l'Honoré;36
78586;Sartrouville;1226
78588;Saulx-Marchais;20
78590;Senlisse;20
78591;Septeuil;87
78597;Soindres;14
78601;Sonchamp;58
78605;Tacoignières;48
78606;Le Tartre-Gaudran;0
78608;Le Tertre-Saint-Denis;1
78609;Tessancourt-sur-Aubette;10
78615;Thiverval-Grignon;12
78616;Thoiry;39
78618;Tilly;18
78620;Toussus-le-Noble;6
78621;Trappes;833
78623;Le Tremblay-sur-Mauldre;37
78624;Triel-sur-Seine;344
78638;Vaux-sur-Seine;149
78640;Vélizy-Villacoublay;956
78642;Verneuil-sur-Seine;308
78643;Vernouillet;244
78644;La Verrière;113
78646;Versailles;3567
78647;Vert;18
78650;Le Vésinet;605
78653;Vicq;22
78655;Vieille-Église-en-Yvelines;18
78668;La Villeneuve-en-Chevrie;17
78672;Villennes-sur-Seine;181
78674;Villepreux;210
78677;Villette;17
78681;Villiers-le-Mahieu;8
78683;Villiers-Saint-Frédéric;64
78686;Viroflay;540
78688;Voisins-le-Bretonneux;140
91001;Abbéville-la-Rivière;8
91016;Angerville;216
91017;Angervilliers;44
91021;Arpajon;484
91022;Arrancourt;3
91027;Athis-Mons;974
