"","Code","LIBCOM","nb","zone","Libellé","Unités.légales..en.nombre..2021","Résidences.principales.2019","Part.des.non.diplômés.chez.les.20.24.ans.sortis.des.études..2018","Implantations.France.Services..IFS...en.nombre..2021"
"276","94054","Orly",5105,"IDF_DEP_94","Orly",1740,9415,16.4,0
"277","94068","Saint-Maur-des-Fossés",2821,"IDF_DEP_94","Saint-Maur-des-Fossés",9257,34177,12.9,0
"278","94073","Thiais",2407,"IDF_DEP_94","Thiais",2351,12990,11.7,0
"279","94074","Valenton",3361,"IDF_DEP_94","Valenton",1046,5315,23.7,0
"280","94076","Villejuif",9435,"IDF_DEP_94","Villejuif",4221,24791,13.4,0
"281","94078","Villeneuve-Saint-Georges",4783,"IDF_DEP_94","Villeneuve-Saint-Georges",2549,12689,25.4,1
"282","94079","Villiers-sur-Marne",3439,"IDF_DEP_94","Villiers-sur-Marne",2126,12255,9.5,1
"283","94080","Vincennes",2632,"IDF_DEP_94","Vincennes",6462,24970,7.7,0
"284","94081","Vitry-sur-Seine",13573,"IDF_DEP_94","Vitry-sur-Seine",7508,37891,17.1,0
"285","95018","Argenteuil",14168,"IDF_DEP_95","Argenteuil",10449,41703,21.7,0
"286","95063","Bezons",4779,"IDF_DEP_95","Bezons",2746,12175,16.1,0
"287","95127","Cergy",11208,"IDF_DEP_95","Cergy",5548,26577,19.1,1
"288","95203","Eaubonne",2069,"IDF_DEP_95","Eaubonne",2065,10322,14.8,0
"289","95218","Éragny",2028,"IDF_DEP_95","Éragny",1261,7061,14.3,0
"290","95219","Ermont",4151,"IDF_DEP_95","Ermont",1911,12482,15,1
"291","95252","Franconville",3070,"IDF_DEP_95","Franconville",2365,15574,16.8,0
"292","95268","Garges-lès-Gonesse",6323,"IDF_DEP_95","Garges-lès-Gonesse",3411,13979,23.8,2
"293","95277","Gonesse",4287,"IDF_DEP_95","Gonesse",2357,9618,19.5,0
"294","95280","Goussainville",2882,"IDF_DEP_95","Goussainville",2622,10323,23.1,1
"295","95424","Montigny-lès-Cormeilles",2457,"IDF_DEP_95","Montigny-lès-Cormeilles",1579,7299,16.8,0
"296","95487","Persan",2036,"IDF_DEP_95","Persan",825,5037,24.4,0
"297","95500","Pontoise",4908,"IDF_DEP_95","Pontoise",3280,13683,18.9,0
"298","95555","Saint-Gratien",2478,"IDF_DEP_95","Saint-Gratien",1658,8850,14.2,0
"299","95572","Saint-Ouen-l'Aumône",3062,"IDF_DEP_95","Saint-Ouen-l'Aumône",2676,9914,18.8,0
"300","95582","Sannois",2761,"IDF_DEP_95","Sannois",2329,10541,16.5,0
"301","95585","Sarcelles",10641,"IDF_DEP_95","Sarcelles",6453,19182,26.2,0
"302","95680","Villiers-le-Bel",5140,"IDF_DEP_95","Villiers-le-Bel",2086,9645,28.6,0
