Code,LIBCOM,nbEntreprises,RP,nonDiplomes,MFS
26192,Montbrison-sur-Lez,30,139,46.8,0
26193,Montbrun-les-Bains,72,242,30.9,0
26194,Montchenu,34,248,16.5,0
26195,Montclar-sur-Gervanne,17,89,0,0
26196,Montéléger,96,617,31.5,0
26197,Montélier,362,1708,17.9,0
26198,Montélimar,3963,18983,20.2,0
26199,Montferrand-la-Fare,3,17,N/A,0
26200,Montfroc,7,41,100,0
26201,Montguers,11,22,0,0
26202,Montjoux,27,154,0,0
26203,Montjoyer,20,115,11.1,0
26204,Montlaur-en-Diois,21,60,14.3,0
26205,Montmaur-en-Diois,7,43,N/A,0
26206,Montmeyran,241,1262,4,0
26207,Montmiral,38,248,7.2,0
26208,Montoison,142,767,6.9,0
26209,Montréal-les-Sources,5,13,0,0
26210,Valherbasse,74,424,21.7,0
26211,Montségur-sur-Lauzon,118,600,7.1,0
26212,Montvendre,88,453,7.3,0
26213,Moras-en-Valloire,44,297,5.6,0
26214,Mornans,9,31,0,0
26215,La Motte-Chalancon,43,218,10,0
26216,Saint-Jean-de-Galaure,65,506,10.2,0
26217,La Motte-Fanjas,17,78,0,0
26218,Mours-Saint-Eusèbe,319,1296,8.5,0
26220,Nyons,786,3538,17.5,0
26221,Omblèze,5,36,0,0
26222,Orcinas,2,15,0,0
26223,Oriol-en-Royans,33,226,8.3,0
26224,Ourches,21,103,28.6,0
26225,Parnans,30,256,14.3,0
26226,Le Pègue,18,187,50,0
26227,Pelonne,1,14,N/A,0
26228,Pennes-le-Sec,4,14,N/A,0
26229,La Penne-sur-l'Ouvèze,9,40,N/A,0
26231,Peyrins,218,1085,13.3,0
26232,Peyrus,42,257,0,0
26233,Piégon,18,112,18.2,0
26234,Piégros-la-Clastre,81,391,20.8,0
26235,Pierrelatte,1061,5891,16.9,0
26236,Pierrelongue,21,101,0,0
26238,Les Pilles,26,120,0,0
26239,Plaisians,26,103,12.5,0
26240,Plan-de-Baix,24,71,0,0
26241,Le Poët-Célard,17,58,N/A,0
26242,Le Poët-en-Percip,3,10,0,0
26243,Le Poët-Laval,113,411,8.3,0
26244,Le Poët-Sigillat,9,52,100,0
26245,Pommerol,0,3,0,0
26246,Ponet-et-Saint-Auban,8,58,14.3,0
26247,Ponsas,16,222,29.7,0
26248,Pontaix,11,93,0,0
26249,Pont-de-Barret,88,297,4.8,0
26250,Pont-de-l'Isère,302,1442,14.9,0
26251,Portes-en-Valdaine,51,199,13.3,0
26252,Portes-lès-Valence,691,4565,14.8,0
26253,Poyols,10,37,0,0
26254,Pradelle,2,8,N/A,0
26255,Les Prés,2,13,N/A,0
26256,Propiac,15,61,33.3,0
26257,Puygiron,26,190,7.7,0
26258,Puy-Saint-Martin,90,396,4.7,0
26259,Ratières,12,125,22.1,0
26261,Réauville,45,174,0,0
26262,Recoubeau-Jansac,35,128,100,0
26263,Reilhanette,18,74,0,0
26264,Rémuzat,38,170,0,0
26266,Rimon-et-Savel,4,16,0,0
26267,Rioms,3,12,N/A,0
26268,Rochebaudin,13,54,0,0
26269,Rochebrune,7,27,0,0
26270,Rochechinard,8,61,50,0
26271,La Roche-de-Glun,256,1416,8.7,0
26272,Rochefort-en-Valdaine,20,139,0,0
26273,Rochefort-Samson,46,412,4.7,0
26274,Rochefourchat,0,1,N/A,0
26275,Rochegude,123,713,7.1,0
26276,Roche-Saint-Secret-Béconne,41,196,0,0
26277,La Roche-sur-Grane,12,69,0,0
26278,La Roche-sur-le-Buis,35,146,0,0
26279,La Rochette-du-Buis,4,37,0,0
26281,Romans-sur-Isère,2932,15896,24.9,0
26282,Romeyer,18,91,0,0
26283,Rottier,3,14,N/A,0
26284,Roussas,29,165,22.2,0
26285,Rousset-les-Vignes,24,139,0,0
26286,Roussieux,1,9,N/A,0
