Recensement agricole 2020; ; ; ; ; ; 
Référentiel géographique : France (Métropole) par Commune 2020; ; ; ; ; ; 
Sélection : Côtes-d'Armor; ; ; ; ; ; 
Code;Libellé;Nombre d'exploitations avec superficie irrigable, 2020;Nombre d'exploitations avec superficie irrigable, 2020 - estimation (*=oui);Nombre d’exploitations avec des porcs à l'engraissement, 2020;Nombre d’exploitations avec des porcs à l'engraissement, 2020 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Nombre de chefs d'exploitation et coexploitants, 2020;Nombre de chefs d'exploitation et coexploitants, 2020 - estimation (*=oui);Nombre de vaches laitières, 2020;Nombre de vaches laitières, 2020 - estimation (*=oui)
22321;Saint-Nicolas-du-Pélem;0;;N/A;;2237;;45;;844;
22322;Saint-Péver;0;;N/A;;626;;25;;152;
22323;Saint-Pôtan;N/A;;5;;1223;;31;;655;
22324;Saint-Quay-Perros;0;;0;;204;;4;;N/A;
22325;Saint-Quay-Portrieux;0;;0;;0;;0;;0;
22326;Saint-Rieul;0;;4;;631;;16;;429;
22327;Saint-Samson-sur-Rance;0;;0;;220;;5;;146;
22328;Saint-Servais;0;;0;;1273;;28;;564;
22330;Saint-Thélo;0;;6;;1216;;29;;499;
22331;Sainte-Tréphine;N/A;;0;;1215;;19;;380;
22332;Saint-Trimoël;0;;3;;377;;16;;N/A;
22333;Saint-Vran;N/A;;7;;1670;;37;;762;
22334;Saint-Igeaux;0;;4;;1340;;25;;N/A;
22335;Senven-Léhart;0;;N/A;;995;;31;;466;
22337;Sévignac;0;;18;;4026;;81;;1917;
22338;Squiffiec;N/A;;N/A;;971;;21;;649;
22339;Taden;N/A;;4;;1393;;26;;471;
22340;Tonquédec;0;;5;;1131;;37;;590;
22341;Tramain;0;;N/A;;565;;10;;265;
22342;Trébédan;0;;N/A;;439;;7;;274;
22343;Trébeurden;4;;0;;172;;9;;N/A;
22344;Trébrivan;N/A;;N/A;;824;;21;;N/A;
22345;Trébry;N/A;;12;;1249;;34;;414;
22346;Trédaniel;N/A;;9;;1376;;31;;871;
22347;Trédarzec;3;;0;;641;;20;;N/A;
22348;Trédias;0;;4;;991;;16;;371;
22349;Trédrez-Locquémeau;0;;0;;70;;5;;N/A;
22350;Tréduder;0;;0;;38;;4;;0;
22351;Treffrin;0;;0;;309;;8;;0;
22352;Tréfumel;5;;3;;411;;7;;0;
22353;Trégastel;N/A;;N/A;;162;;9;;0;
22354;Tréglamus;0;;3;;1137;;29;;539;
22356;Trégomeur;4;;3;;806;;23;;N/A;
22358;Trégonneau;0;;N/A;;422;;11;;N/A;
22359;Trégrom;N/A;;0;;926;;20;;445;
22360;Trégueux;N/A;;0;;237;;10;;N/A;
22361;Tréguidel;N/A;*;0;*;204;*;10;*;N/A;*
22362;Tréguier;0;;0;;0;;0;;0;
22363;Trélévern;3;;0;;347;;9;;N/A;
22364;Trélivan;0;;0;;397;;8;;136;
22365;Trémargat;N/A;;N/A;;856;;24;;138;
22366;Trémel;0;;0;;1030;;21;;472;
22368;Tréméreuc;N/A;;0;;18;;4;;0;
22369;Trémeur;0;;8;;1109;;20;;208;
22370;Tréméven;0;;0;;372;;9;;N/A;
22371;Trémorel;0;;12;;2187;;50;;1094;
22372;Trémuson;N/A;;N/A;;144;;4;;0;
22373;Tréogan;0;;N/A;;378;;5;;N/A;
22375;Tressignaux;0;;N/A;;372;;8;;N/A;
22376;Trévé;N/A;;11;;2249;;59;;955;
22377;Tréveneuc;0;;N/A;;315;;7;;N/A;
22378;Trévérec;0;;N/A;;487;;10;;N/A;
22379;Trévou-Tréguignec;N/A;;0;;183;;4;;N/A;
22380;Trévron;0;;4;;986;;13;;344;
22381;Trézény;N/A;;N/A;;402;;10;;257;
22383;Troguéry;0;;N/A;;416;;8;;N/A;
22384;Uzel;0;;N/A;;458;;8;;252;
22385;La Vicomté-sur-Rance;0;;0;;128;;5;;0;
22386;Le Vieux-Bourg;0;;N/A;;1557;;43;;935;
22387;Le Vieux-Marché;N/A;;5;;1453;;39;;669;
22388;Vildé-Guingalan;N/A;;0;;410;;8;;N/A;
22389;Yffiniac;N/A;;N/A;;831;;20;;452;
22390;Yvias;N/A;;N/A;;697;;18;;199;
22391;Yvignac-la-Tour;N/A;;10;;2293;;38;;1149;
