"","taille","NOM_IRIS"
"7264","moyen","Merisiers /14 juillet"
"7278","moyen","Merisiers /14 juillet"
"7279","moyen","Merisiers /14 juillet"
"7300","moyen","Merisiers /14 juillet"
"7307","moyen","Merisiers /14 juillet"
"7308","moyen","Merisiers /14 juillet"
"7311","moyen","Merisiers /14 juillet"
"7312","moyen","Merisiers /14 juillet"
"7346","moyen","Merisiers /14 juillet"
"7356","moyen","Merisiers /14 juillet"
"7361","moyen","Merisiers /14 juillet"
"7362","moyen","Merisiers /14 juillet"
"7364","moyen","Merisiers /14 juillet"
"7365","moyen","Merisiers /14 juillet"
"7371","moyen","Merisiers /14 juillet"
"7380","moyen","Merisiers /14 juillet"
"7382","moyen","Merisiers /14 juillet"
"7393","moyen","Merisiers /14 juillet"
"7395","moyen","Merisiers /14 juillet"
"7424","moyen","Merisiers /14 juillet"
"7425","moyen","Merisiers /14 juillet"
"7429","moyen","Merisiers /14 juillet"
"7437","moyen","Merisiers /14 juillet"
"7459","moyen","Merisiers /14 juillet"
"7465","moyen","Merisiers /14 juillet"
"7482","moyen","Merisiers /14 juillet"
"7489","moyen","Merisiers /14 juillet"
"7492","moyen","Merisiers /14 juillet"
"7524","moyen","Merisiers /14 juillet"
"7527","moyen","Merisiers /14 juillet"
"7540","moyen","Merisiers /14 juillet"
"7584","moyen","Merisiers /14 juillet"
"7611","moyen","Merisiers /14 juillet"
"7613","moyen","Merisiers /14 juillet"
"7622","moyen","Merisiers /14 juillet"
"7630","moyen","Merisiers /14 juillet"
"7632","moyen","Merisiers /14 juillet"
"7640","moyen","Merisiers /14 juillet"
"7641","moyen","Merisiers /14 juillet"
"7646","moyen","Merisiers /14 juillet"
"7649","moyen","Merisiers /14 juillet"
"7660","moyen","Merisiers /14 juillet"
"7666","moyen","Merisiers /14 juillet"
"7670","moyen","Merisiers /14 juillet"
"7677","moyen","Merisiers /14 juillet"
"7681","moyen","Merisiers /14 juillet"
"7686","moyen","Merisiers /14 juillet"
"7696","moyen","Merisiers /14 juillet"
"7697","moyen","Merisiers /14 juillet"
"7700","moyen","Merisiers /14 juillet"
"7704","moyen","Merisiers /14 juillet"
"7707","moyen","Merisiers /14 juillet"
"7710","moyen","Merisiers /14 juillet"
"7713","moyen","Merisiers /14 juillet"
"7721","moyen","Merisiers /14 juillet"
"7738","moyen","Merisiers /14 juillet"
"7739","moyen","Merisiers /14 juillet"
"7741","moyen","Merisiers /14 juillet"
"7750","moyen","Merisiers /14 juillet"
"7796","moyen","Merisiers /14 juillet"
"7798","moyen","Merisiers /14 juillet"
"7812","moyen","Merisiers /14 juillet"
"7814","moyen","Merisiers /14 juillet"
"7826","moyen","Merisiers /14 juillet"
"7828","moyen","Merisiers /14 juillet"
"7833","moyen","Merisiers /14 juillet"
"7834","moyen","Merisiers /14 juillet"
"7837","moyen","Merisiers /14 juillet"
"7839","moyen","Merisiers /14 juillet"
